Pipeline,System,Run 1,Run 2,Run 3,Average,Command,Generated Config
CV-torch,torch,55.72,60.02,56.274,57.338,python eval_torch.py --dataset_file pipelines/simclrv2/torch_dataset.py --num_workers 8,
CV-torch,ember-local,28.549,27.814,27.444,27.93566667,python eval_ember.py --dataset_file pipelines/simclrv2/ember_dataset.py --profiled_stats pipelines/simclrv2/stats/ember_stats.yaml --master_feature_config pipelines/simclrv2/configs/eval_ember_local.yaml,
CV-torch,ray-local,51.624,51.49,52.362,51.82533333,python pipelines/simclrv2/ray_dataset.py (use the last epoch),
CV-tf,tf,21.849,21.736,21.761,21.782,python eval_tf.py --dataset_file pipelines/simclrv2/tf_dataset.py --num_parallel_calls -1,
CV-tf,ember-local,21.637,21.55,21.604,21.597,python eval_ember.py --dataset_file pipelines/simclrv2/ember_tf_dataset.py --profiled_stats pipelines/simclrv2/stats/ember_tf_stats.yaml --master_feature_config pipelines/simclrv2/configs/eval_ember_local_tf.yaml,
CV-tf,ray-local,59.705,60.225,59.897,59.94233333,python pipelines/simclrv2/ray_tf_dataset.py,
NLP-torch,torch,64.371,63.974,63.519,63.95466667,python eval_torch.py --dataset_file pipelines/wikitext103/torch_dataset.py --num_workers 8 --num_total_samples 100000,
NLP-torch,ember-local,34.026,33.365,33.951,33.78066667,python eval_ember.py --dataset_file pipelines/wikitext103/ember_dataset.py --profiled_stats pipelines/wikitext103/stats/ember.yaml --master_feature_config pipelines/wikitext103/configs/eval_local.yaml  --num_total_samples 100000,
NLP-torch,ray-local,66.281,75.077,70.978,70.77866667,python pipelines/wikitext103/ray_dataset.py,
NLP-hf-tf,tf,157.293,157.322,158.226,157.6136667,python eval_tf.py --dataset_file pipelines/wikitext103/tf_dataset.py --num_parallel_calls -1 --num_total_samples 100000,
NLP-hf-tf,ember-local,83.053,82.488,83.419,82.98666667,python eval_ember.py --dataset_file pipelines/wikitext103/ember_tf_dataset.py --profiled_stats pipelines/wikitext103/stats/tf.yaml --master_feature_config pipelines/wikitext103/configs/eval_local_tf.yaml --num_total_samples 100000,
NLP-hf-tf,ray-local,70.62,71,70.636,70.752,python pipelines/wikitext103/ray_tf_dataset.py,
NLP-tf,tf,40.94,27.366,27.997,32.101,python eval_tf.py --dataset_file pipelines/wikitext103/tf_service_dataset.py --num_parallel_calls -1 --num_total_samples 200000,
NLP-tf,ember-local,34.773,35.223,35.349,35.115,python eval_ember.py --dataset_file pipelines/wikitext103/ember_tf_service_dataset.py --profiled_stats pipelines/wikitext103/stats/tf_service.yaml --master_feature_config pipelines/wikitext103/configs/eval_local_tf_service.yaml --num_total_samples 200000,
NLP-tf,ray-local,147.768,165.672,163.711,159.0503333,python pipelines/wikitext103/ray_tf_service_dataset.py,
ASR,torch,411.796,400.39,404.775,405.6536667,python eval_torch.py --dataset_file pipelines/commonvoice/torch_dataset.py --num_workers 8 --num_total_samples 10000,
ASR,tf,585.121,575.371,581.604,580.6986667,python eval_tf.py --dataset_file pipelines/commonvoice/tf_dataset.py --num_parallel_calls -1 --num_total_samples 10000,
ASR,ember-local,94.356,94.702,94.757,94.605,python eval_ember.py --dataset_file pipelines/commonvoice/ember_dataset.py --profiled_stats pipelines/commonvoice/stats/ember.yaml --master_feature_config pipelines/commonvoice/configs/eval_local.yaml --num_total_samples 10000,
ASR,ray-local,94.344,94.569,94.84353052,94.58551017, python pipelines/commonvoice/ray_dataset.py,
CV-tf,plumber,25.91170201,29.19927481,28.91196318,28.00764667, python tf_dataset.py --profile && python graph_rewrites.py --skip_baseline=False,
